ID;date;site;Sex;Ltot;Wtot;Wev;Wliver;Wgonad;BCI;IGS;IHS;Maturity_LM50;year;Age_class
56;02/05/24;Pozzuoli;F;66;537;508;8,96;2,64;0,0019;0,4916;1,6685;Immaturo;2024;2
57;10/04/24;Pozzuoli;M;80,5;1212;1144;23,31;0,95;0,0023;0,0784;1,9233;Maturo;2024;2
58;02/05/24;Pozzuoli;F;70,5;672;632;12,04;3,85;0,0019;0,5729;1,7917;Maturo;2024;2
59;10/04/24;Pozzuoli;M;86,8;1560;1434;37,01;1,27;0,0024;0,0814;2,3724;Maturo;2024;2
60;10/04/24;Pozzuoli;M;77,5;946;892;17,9;1,09;0,002;0,1152;1,8922;Maturo;2024;2
61;10/04/24;Pozzuoli;F;73;843;758;12,23;47,74;0,0022;5,6631;1,4508;Maturo;2024;2
62;10/04/24;Pozzuoli;M;67,3;780;728;16,8;1,01;0,0026;0,1295;2,1538;Immaturo;2024;2
63;10/04/24;Pozzuoli;M;85,3;1250;1176;26,76;0,83;0,002;0,0664;2,1408;Maturo;2024;2
64;30/07/23;Capo Miseno;F;64,5;541;483;12,84;2,24;0,002;0,414;2,3734;Maturo;2023;2
65;25/01/24;Baia ;F;69;1022;872;26,32;3,7;0,0031;0,362;2,5753;Maturo;2024;2
66;30/07/23;Capo Miseno;F;78,2;852;812;7,72;2,84;0,0018;0,3333;0,9061;Maturo;2023;2
67;10/01/24;Nisida;M;73,5;1032;928;22,39;0,91;0,0026;0,0882;2,1696;Maturo;2024;2
68;10/04/24;Pozzuoli;F;71,4;963;903;22,2;5,38;0,0026;0,5587;2,3053;Maturo;2024;2
69;Sep-23;Procida;F;55,3;338;322;6,06;0,84;0,002;0,2485;1,7929;Immaturo;2023;1
70;Sep-23;Procida;M;42,8;133;121;1,5;0,13;0,0017;0,0977;1,1278;Immaturo;2023;1
71;28/06/23;Procida;M;49,7;181;171;2,72;0,11;0,0015;0,0608;1,5028;Immaturo;2023;1
72;28/06/23;Procida;F;47;188;170;1,58;0,33;0,0018;0,1755;0,8404;Immaturo;2023;1
73;28/06/23;Procida;F;42,5;133;125;1,57;0,28;0,0017;0,2105;1,1805;Immaturo;2023;1
74;27/03/24;Ischia;F;103;2719;2224;30,17;266,75;0,0025;9,8106;1,1096;Maturo;2024;3
75;05/07/23;Ischia;M;53;264;248;3,2;0,14;0,0018;0,053;1,2121;Immaturo;2023;1
76;10/01/24;Nisida;M;62,4;502;466;7,99;0,32;0,0021;0,0637;1,5916;Immaturo;2024;2
77;30/07/23;Capo Miseno;M;82;1293;1184;28,87;0,88;0,0023;0,0681;2,2328;Maturo;2023;2
78;05/07/23;Ischia;M;56,5;295;277;5,06;0,22;0,0016;0,0746;1,7153;Immaturo;2023;1
79;10/01/24;Nisida;M;80,3;1218;1120;21,48;0,85;0,0024;0,0698;1,7635;Maturo;2024;2
80;04/12/23;Bacoli;M;62,4;474;429;5,05;0,34;0,002;0,0717;1,0654;Immaturo;2023;2
